,MSRP
0,46135
1,40650
2,36350
3,29450
4,34500
5,31200
6,44100
7,39300
8,36900
9,37200
10,39600
11,31500
12,44400
13,37200
14,31500
15,48250
16,43550
17,2000
18,2000
19,2000
20,2000
21,2000
22,2000
23,2000
24,2000
25,2000
26,2000
27,2000
28,2000
29,2000
30,2000
31,2000
32,27495
33,24995
34,28195
35,2000
36,2000
37,2000
38,2000
39,2000
40,2000
41,32850
42,38650
43,48750
44,34850
45,40650
46,44150
47,32850
48,46150
49,50750
50,46450
51,49050
52,51050
53,44450
54,38950
55,33150
56,35150
57,40950
58,2000
59,2000
60,2000
61,2000
62,2000
63,2000
64,25170
65,23950
66,29370
67,21995
68,26625
69,30825
70,21995
71,27795
72,31785
73,29905
74,22490
75,27570
76,25690
77,24490
78,29905
79,31785
80,26685
81,22490
82,25690
83,30900
84,27795
85,21995
86,24490
87,2000
88,2000
89,2000
90,2000
91,2000
92,2000
93,2000
94,2000
95,2073
96,3713
97,3520
98,3910
99,4182
100,4107
101,4299
102,4693
103,4107
104,2000
105,2000
106,2000
107,2000
108,2000
109,2000
110,2000
111,2000
112,16020
113,14530
114,16860
115,15370
116,17050
117,15560
118,16210
119,14720
120,17050
121,15560
122,16210
123,14720
124,47250
125,41850
126,41850
127,43000
128,49200
129,49650
130,43950
131,41950
132,50150
133,37500
134,43750
135,39000
136,39500
137,39500
138,34950
139,45750
140,43450
141,37500
142,41000
143,32950
144,41850
145,47800
146,39850
147,38350
148,40350
149,38350
150,42650
151,33150
152,35150
153,44150
154,45800
155,38750
156,35450
157,33450
158,40750
159,42250
160,42950
161,40250
162,49900
163,47900
164,44450
165,2232
166,2000
167,2000
168,2105
169,2199
170,2000
171,2124
172,3552
173,2179
174,2000
175,2000
176,2377
177,3814
178,2207
179,2000
180,2248
181,2065
182,2547
183,2282
184,2000
185,2544
186,2397
187,2000
188,4174
189,2187
190,2729
191,2433
192,2247
193,2540
194,3941
195,3295
196,6008
197,6710
198,3701
199,4671
200,5306
201,7600
202,4090
203,37570
204,31695
205,38070
206,44895
207,35070
208,42395
209,34195
210,40570
211,38095
212,35595
213,45190
214,32260
215,37755
216,41055
217,36090
218,42690
219,38555
220,35255
221,38590
222,34760
223,41135
224,45270
225,38670
226,38635
227,36170
228,38175
229,32340
230,42770
231,34840
232,35675
233,32065
234,28540
235,32315
236,28885
237,29185
238,32615
239,2847
240,2488
241,2683
242,2553
243,3049
244,2774
245,2702
246,3101
247,3510
248,3107
249,3624
250,3185
251,2000
252,2000
253,2000
254,2000
255,2000
256,2144
257,2098
258,2178
259,2311
260,36550
261,41250
262,30600
263,37100
264,27900
265,32700
266,40250
267,35550
268,36100
269,33200
270,37900
271,29600
272,38070
273,38900
274,33840
275,38630
276,39630
277,37740
278,41980
279,36280
280,36740
281,40980
282,38680
283,28510
284,30210
285,31210
286,33340
287,37280
288,41570
289,36870
290,42570
291,37870
292,39220
293,40220
294,160829
295,140615
296,150694
297,170829
298,165986
299,154090
300,143860
301,176287
302,157767
303,187124
304,147332
305,169900
306,180408
307,46790
308,48100
309,29990
310,41820
311,31290
312,34870
313,33570
314,46570
315,37970
316,37070
317,49400
318,45270
319,39270
320,45490
321,41990
322,38370
323,43290
324,41820
325,48100
326,43290
327,39270
328,34870
329,41990
330,38370
331,45270
332,45490
333,29990
334,46570
335,46790
336,49400
337,37070
338,31290
339,37970
340,33570
341,37970
342,38370
343,34870
344,29990
345,45490
346,41990
347,45270
348,33570
349,48100
350,39270
351,46570
352,49400
353,37070
354,41820
355,46790
356,43290
357,31290
358,25045
359,26095
360,23795
361,19595
362,18445
363,23845
364,25395
365,24895
366,25545
367,24295
368,19495
369,20095
370,19995
371,21145
372,23245
373,16945
374,24345
375,20645
376,18945
377,26595
378,22745
379,17995
380,22545
381,21095
382,25495
383,20745
384,24295
385,23595
386,21795
387,17845
388,26495
389,24745
390,18895
391,19595
392,23245
393,18545
394,25795
395,20045
396,25445
397,24795
398,21495
399,17845
400,23145
401,24195
402,20145
403,24945
404,23895
405,19095
406,23445
407,18895
408,22245
409,22395
410,20445
411,42300
412,40300
413,40300
414,42300
415,45800
416,47800
417,43650
418,49950
419,47950
420,41650
421,48300
422,50300
423,43950
424,41950
425,56900
426,46250
427,50750
428,42750
429,48750
430,48250
431,42750
432,50750
433,40750
434,54900
435,48750
436,40750
437,52000
438,50000
439,41850
440,50150
441,41850
442,58950
443,43850
444,48150
445,56950
446,50300
447,52300
448,50500
449,44150
450,42150
451,59300
452,57300
453,48500
454,2168
455,2497
456,2278
457,2650
458,2000
459,2186
460,223970
461,219775
462,228625
463,224585
464,228625
465,224585
466,257412
467,233509
468,233509
469,288000
470,257412
471,239340
472,263553
473,291744
474,63900
475,68400
476,53900
477,55900
478,65900
479,41365
480,35740
481,37615
482,34695
