weight_g,ram,ram1,android,display,internal,intenal1,camera,speed1,speed,month number,concat,timestamp,approx_price_EUR
158,192,0.1875,1.5,3.2,256,0.25,3.15,528,528,9,2008 9,1,290
,Err:502,Err:502,1.6,3.2,200,0.1953125,5,#VALUE!,#VALUE!,10,2009 10,2,90
135,256,0.25,1.6,3.5,512,0.5,5,768,768,10,2009 10,2,90
116,192,0.1875,2.1,3.2,512,0.5,3.15,528,528,10,2009 10,2,300
120,288,0.28125,bas,3.2,512,0.5,5,528,528,10,2009 10,2,80
120,Err:502,Err:502,1.5,3.2,30,30,3.15,#VALUE!,#VALUE!,10,2009 10,2,
108,Err:502,Err:502,1.6,3.5,256,0.25,3.15,#VALUE!,#VALUE!,11,2009 11,3,230
135,384,0.375,2.1,4,1,1,8,#VALUE!,#VALUE!,11,2009 11,3,120
165,256,0.25,bas,3.7,133,0.1298828125,5,600,600,11,2009 11,3,130
150,256,0.25,2,3.5,512,0.5,5,624,624,11,2009 11,3,180
137,512,0.5,2,3.7,1,1,5,550,550,12,2009 12,4,230
140,256,0.25,bas,3.7,512,0.5,5,600,600,12,2009 12,4,230
125,256,0.25,1.6,3.7,4,4,5,624,624,12,2009 12,4,230
118.5,288,0.28125,1.6,3.2,512,0.5,3.15,528,528,2,2009 2,5,90
158,192,0.1875,1.5,3.2,256,0.25,3.15,528,528,2,2009 2,5,150
116.7,128,0.125,1.5,3.2,8,8,5,528,528,4,2009 4,6,140
135,288,0.28125,1.5,3.2,512,0.5,5,528,528,6,2009 6,7,100
116,192,0.1875,2.1,3.2,512,0.5,3.15,528,528,6,2009 6,7,250
,256,0.25,1.5,3.5,Err:502,Err:502,3.15,528,528,6,2009 6,7,270
135,288,0.28125,1.5,3.2,512,0.5,5,528,528,7,2009 7,8,260
135,Err:502,Err:502,1.5,3.5,192,0.1875,3.15,#VALUE!,#VALUE!,8,2009 8,9,230
161,Err:502,Err:502,1.5,3.2,Err:502,Err:502,3.15,800,800,8,2009 8,9,120
130,Err:502,Err:502,2.1,3.5,192,0.1875,3.15,#VALUE!,#VALUE!,8,2009 8,9,250
128,288,0.28125,1.5,3.2,512,0.5,5,528,528,8,2009 8,9,80
163,256,0.25,1.5,3.1,1,1,5,528,528,9,2009 9,10,130
124,Err:502,Err:502,1.5,3.2,180,0.17578125,3.15,800,800,9,2009 9,10,160
139,Err:502,Err:502,1.6,3,150,0.146484375,5,#VALUE!,#VALUE!,9,2009 9,10,90
113,256,0.25,1.5,2.8,512,0.5,3.15,528,528,9,2009 9,10,60
133,256,0.25,1.6,3.1,512,0.5,5,528,528,1,2010 1,11,150
115.5,156,0.15234375,2.1,3,139,0.1357421875,3.15,600,600,1,2010 1,11,70
139,256,0.25,2.1,3.7,512,0.5,8,720,720,1,2010 1,11,250
500,256,0.25,2.1,7,8,8,2,#VALUE!,#VALUE!,1,2010 1,11,70
130,512,0.5,2.1,3.7,512,0.5,5,#VALUE!,#VALUE!,1,2010 1,11,120
145,256,0.25,2.1,3,512,0.5,3.15,528,528,10,2010 10,12,170
110,256,0.25,2.1,3,512,0.5,3.15,528,528,10,2010 10,12,90
122,512,0.5,2.1,3.7,2,2,3.15,800,800,10,2010 10,12,150
