ram1,android,weight_g,speed final,display,camera,intenal1,approx_price_EUR
0.1875,1.6,158,0.528,3.2,3.15,0.25,290
-1,1.5,-1,-1,3.2,5,0.1953125,90
0.25,1.6,135,0.768,3.5,5,0.5,90
0.1875,1.6,116,0.528,3.2,3.15,0.5,300
0.28125,2.1,120,0.528,3.2,5,0.5,80
-1,1.5,108,-1,3.5,3.15,0.25,230
0.375,1.6,135,1,4,8,1,120
0.25,2.1,165,0.6,3.7,5,0.1298828125,130
0.25,-1,150,0.624,3.5,5,0.5,180
0.5,2,137,0.55,3.7,5,1,230
0.25,2,140,0.6,3.7,5,0.5,230
0.25,-1,125,0.624,3.7,5,4,230
0.28125,1.6,118.5,0.528,3.2,3.15,0.5,90
0.1875,1.6,158,0.528,3.2,3.15,0.25,150
0.125,1.5,116.7,0.528,3.2,5,8,140
0.28125,1.5,135,0.528,3.2,5,0.5,100
0.1875,1.5,116,0.528,3.2,3.15,0.5,250
0.25,2.1,-1,0.528,3.5,3.15,-1,270
0.28125,1.5,135,0.528,3.2,5,0.5,260
-1,1.5,135,-1,3.5,3.15,0.1875,230
-1,1.5,161,0.8,3.2,3.15,-1,120
-1,1.5,130,-1,3.5,3.15,0.1875,250
0.28125,2.1,128,0.528,3.2,5,0.5,80
0.25,1.5,163,0.528,3.1,5,1,130
-1,1.5,124,0.8,3.2,3.15,0.17578125,160
-1,1.5,139,-1,3,5,0.146484375,90
0.25,1.6,113,0.528,2.8,3.15,0.5,60
0.25,1.5,133,0.528,3.1,5,0.5,150
0.15234375,1.6,115.5,0.6,3,3.15,0.1357421875,70
0.25,2.1,139,0.72,3.7,8,0.5,250
0.25,2.1,500,1,7,2,8,70
0.5,2.1,130,1,3.7,5,0.5,120
0.25,2.1,145,0.528,3,3.15,0.5,170
0.25,2.1,110,0.528,3,3.15,0.5,90
0.5,2.1,122,0.8,3.7,3.15,2,150
0.5,2.1,117.9,1,4,5,2,100
0.5,2.1,152,0.8,3.5,3.15,0.5,120
0.5,2.1,403,-1,7,3.15,0.5,170
0.5,2.1,110,0.6,3.5,3.15,0.5,170
0.375,2.1,115,0.528,3.2,5,0.5,110
0.5,2.2,135,0.8,3.6,5,0.5,70
0.375,2.2,115,0.6,3.2,5,0.5,120
-1,2.2,130,0.6,3.2,3.15,-1,50
-1,2.2,129,0.6,3.2,3.15,0.166015625,110
0.5,2.2,145,0.72,3.1,3.15,0.5,170
-1,2.2,131,1.2,3.7,5,8,180
0.5,2.2,134,1,3.1,5,2,110
-1,2.2,129,1,4,5,16,140
0.75,2.2,153.1,1,3.8,5,4,280
-1,2.2,117,0.6,3.2,3.15,0.15625,90
0.25,-1,130,-1,3.2,3.15,0.5,70
0.5,-1,182,0.6,3.7,8,0.5,180
0.25,2.1,120,0.6,3.5,3.15,0.5,280
0.25,2.1,100,0.6,2.8,3.15,0.25,180
0.25,2.1,110,0.528,3,3.15,0.5,170
0.328125,2.1,125,1,3.4,5,2,90
0.25,2.2,116,0.528,3.2,3.15,0.5,130
-1,2.2,153,0.6,3.2,3.15,0.146484375,60
-1,2.2,123,1,4,5,16,280
0.625,2.2,380,1,7,3.15,16,270
-1,2.2,102.1,0.528,2.8,3.15,-1,150
0.5,2.2,173,1.2,3.7,5,8,200
0.25,2.2,95,0.6,2.8,3.15,0.5,110
0.5,2.2,164,1,4.1,8,1,390
0.5,2.2,143,1,4.1,5,2,90
-1,2.2,140,1,3.8,5,8,130
0.5,2.2,118,0.8,3.7,5,2,150
0.5,2.2,169,1,3.7,5,8,110
0.5,2.2,119.8,1,4,5,-1,200
0.5,2.2,139,1,4,8,8,150
0.5,2.2,139,1,4,8,8,150
0.5,2.2,130,0.8,3.8,5,-1,100
0.5,2.3,129,1,4,5,16,170
0.25,1.5,105,0.416,2.8,3.15,0.25,70
0.25,1.5,130,0.528,3.1,5,0.5,100
-1,1.6,120,0.6,2.5,5,0.125,70
-1,1.6,88,0.6,2.5,5,0.125,70
0.25,2.1,125,0.6,3.2,3.15,0.5,80
0.375,2.1,126,0.6,3.2,5,0.5,120
-1,2.1,104,-1,2.6,3.15,-1,70
-1,2.1,110,-1,2.8,3.15,-1,90
-1,2.1,104,-1,2.8,3.15,-1,70
0.375,2.1,156,0.72,3.7,8,16,260
0.25,2.1,136,-1,3.5,3.15,4,340
0.5625,2.1,135,1,3.7,5,0.5,140
0.5,2.1,135,0.768,3.5,5,0.5,90
-1,-1,153.5,-1,3.5,3.15,0.0390625,470
-1,1.5,104,0.624,3.5,5,-1,230
-1,2.1,126,0.8,3.2,3.15,0.17578125,310
0.5,2.1,170,1,4.3,8,1,90
0.5,2.1,119,1,4,5,8,120
-1,-1,139,-1,3,5,0.166015625,180
0.25,1.6,118,0.6,3.2,5,-1,110
0.5,2.1,-1,-1,3.2,5,4,310
-1,2.1,130,1,3.7,8,8,80
0.375,2.1,128,0.72,3.7,5,1,100
0.125,2.1,109,-1,2.8,3.15,0.5,100
-1,2.1,157,1,3.5,5,3,70
0.5,2.1,-1,0.6,3.4,5,0.5,330
0.5,2.1,140,1,3.7,5,2,130
0.375,2.1,118,0.528,3.2,5,0.5,90
0.5,2.1,155,1,4.3,8,6.5,150
0.5,-1,220,1,5,5,16,190
0.25,1.6,109,0.416,2.6,3.15,0.5,90
0.25,1.6,105,0.416,2.8,3.15,0.5,70
